STATEMENT,SUPPORTING DOC 1,SUPPORTING DOC 2,SUPPORTING DOC 3,JUDGEMENT,CONFIDENCE,DERIVATION STEP1,SUPPORTING SENT. FOR STEP1,DERIVATION STEP2,SUPPORTING SENT. FOR STEP2,DERIVATION STEP3,SUPPORTING SENT. FOR STEP3,SCORE,WikiHop ID
Kouvola is located in Kymenlaakso,"Kouvola is a town and municipality in southeastern Finland . It is located 134 kilometres ( 83 mi ) northeast of the capital , Helsinki . The city has a population of 86,302 ( 30 June 2015 ) and covers an area of 2,883.30 square kilometres ( 1,113.25 sq mi ) of which 325.06 km2 ( 125.51 sq mi ) is water . The population density is 33.73 inhabitants per square kilometre ( 87.4/sq mi ) . The town originally grew up around the junction of the north - south and east - west rail tracks . It was also a major road transport junction . In January 2009 , the six municipalities of Kouvola , Kuusankoski , Elimäki , Anjalankoski , Valkeala and Jaala were consolidated , forming the new municipality of Kouvola . Kouvola can now claim the natural beauty of Valkeala and Jaala as well as the cultural heritage of Elimäki and Anjalankoski as its own , the town itself being infamous for its Soviet - like Brutalist architecture and allegedly high crime rate . Kouvola has also assumed the slogan Kymijoen kaupunki ( the town of Kymijoki ) previously used by Anjalankoski . Newspapers Kouvolan Sanomat and Keskilaakso are published in Kouvola .","Helsinki  is the capital and largest city of Finland. It is in the region of Uusimaa, in southern Finland, on the shore of the Gulf of Finland. Helsinki has a population of , an urban population of 1,214,210, and a metropolitan population of over 1.4 million, making it the most populous municipality and urban area in Finland. Helsinki is located some north of Tallinn, Estonia, east of Stockholm, Sweden, and west of Saint Petersburg, Russia. Helsinki has close historical connections with these three cities.","Uusimaa or Nyland (both names mean “new land”) is a region in Finland. It borders the regions Southwest Finland, Tavastia Proper, Päijänne Tavastia and Kymenlaakso. Finland’s capital Helsinki (its largest city) and its second largest city Espoo are both located centrally in Uusimaa, making it by far the most populous region.",likely,qualified_guess,Kouvola is located in Helsinki .,"It is located 134 kilometres ( 83 mi ) northeast of the capital , Helsinki .",Helsinki is in the region of Uusimaa.,"It is in the region of Uusimaa, in southern Finland, on the shore of the Gulf of Finland.","Uusimaa borders the regions Southwest Finland, Kymenlaakso and some others.","It borders the regions Southwest Finland, Tavastia Proper, Päijänne Tavastia and Kymenlaakso.",1356,WH_train_10228
Pirsaat's mouth of the watercourse is Caspian sea,"The Pirsaat ( Azerbaijani : Pirsaatçay ) is a river in Azerbaijan which flows through Ismailli , Shamakhi and Salyan Rayons . Length - 199 km , basin area - 2,280 km2 . The river is fed by snow , rain and groundwater . Its largest tributary is Zoghalava . On the right bank of the river there is Chukhuryurd village inhabited by molokans . The medieval Pirsaatchay Khanagah is at the Salyan portion of the river .","Azerbaijan, officially the Republic of Azerbaijan, is a country in the South Caucasus region, situated at the crossroads of Southwest Asia and Southeastern Europe. It is bounded by the Caspian Sea to the east, Russia to the north, Georgia to the northwest, Armenia to the west and Iran to the south. The exclave of Nakhchivan is bounded by Armenia to the north and east, Iran to the south and west, while having an 8 km border with Turkey in the north west.",,likely,qualified_guess,The Pirsaat is a river in Azerbaijan.,"The Pirsaat ( Azerbaijani : Pirsaatçay ) is a river in Azerbaijan which flows through Ismailli , Shamakhi and Salyan Rayons .",Azerbaijan is bounded by the Caspian Sea to the east.,"It is bounded by the Caspian Sea to the east, Russia to the north, Georgia to the northwest, Armenia to the west and Iran to the south.",,,1365,WH_train_37691
Byo split series volume ii is released by Byo records,"BYO Split Series Volume II is the second album in the BYO Split Series , featuring Swingin ' Utters and Youth Brigade .","The BYO Split Series is a series of albums put out by BYO Records. Each album is a split album which features two bands, with each band doing a cover of the other bands music on the album. The series started in 1999, and so far contains 5 releases.",,TRUE,bet,BYO Split Series Volume II is in the BYO Split Series.,"BYO Split Series Volume II is the second album in the BYO Split Series , featuring Swingin ' Utters and Youth Brigade .",The BYO Split Series is put out by BYO Records.,The BYO Split Series is a series of albums put out by BYO Records.,,,1348,WH_train_27024
Uraba belongs to Nolinae,Uraba was a genus of moths of the Nolidae family . It is now considered a synonym of Roeselia .,"Nolidae is a family of moths with about 1,400 described species worldwide. They are mostly small with dull coloration, the main distinguishing feature being a silk cocoon with a vertical exit slit. The group is sometimes known as tuft moths after the tufts of raised scales on the forewings of two subfamilies, Nolinae and Collomeninae. The larvae also tend to have muted colors and tufts of short hairs.",,TRUE,verycf,Uraba was a genus  of the Nolinae family .,Uraba was a genus of moths of the Nolidae family .,Nolinae is a family of moths.,"Nolidae is a family of moths with about 1,400 described species worldwide.",,,1393,WH_train_8440
List of numbers episodes is a series of Numb3rs,"Season one of Numbers , an American television series , premiered on January 23 , 2005 and finished on May 13 , 2005 . The first season sees the start of the working relationship between Don Eppes , an FBI agent , and his genius brother Charlie , an applied mathematician and professor at a local university . The rest of Don 's FBI team consists of Terry Lake and David Sinclair . Don and Charlie 's father , Alan Eppes , provides emotional support for the pair , while the brilliant Professor Larry Fleinhardt and promising doctoral student Amita Ramanujan provide mathematical support and insights to Charlie .","Alan Eppes is a fictional character in the CBS crime drama 'Numb3rs', played by Judd Hirsch. Alan is the father of the main characters, brothers Charlie and Don Eppes. First introduced in the pilot episode, the character of Alan received mixed reviews.",,likely,qualified_guess,list of numbers episodes the Season one of Numbers Don's Fbi team consists of Alan Eppes.,"Don and Charlie 's father , Alan Eppes , provides emotional support for the pair , while the brilliant Professor Larry Fleinhardt and promising doctoral student Amita Ramanujan provide mathematical support and insights to Charlie .",Alan Eppes is a fictional character in the CBS crime drama 'Numb3rs'.,"Alan Eppes is a fictional character in the CBS crime drama 'Numb3rs', played by Judd Hirsch.",,,1263,WH_train_32193
Shiva keshavan's occupation is Luger,"Shiva Keshavan ( born August 25 , 1981 ) is a five time Olympian and the first Indian representative to compete in luge at the Winter Olympic Games . He set a new Asian speed record at 134.3 km / h ( 83.5 mph ) after beating the previous record of 131.9 km / h ( 82.0 mph ) and won gold medal in Asia Cup 2011 at Nagano in Japan . In 2012 , he set a new Asian track record at 49.590 seconds .","A luge is a small one- or two-person sled on which one sleds supine (face up) and feet-first. Steering is done by flexing the sled's runners with the calf of each leg or exerting opposite shoulder pressure to the seat. Racing sleds weigh 21–25 kilograms (46–55 lb) for singles and 25–30 kilograms (55–66 lb) for doubles. Luge is also the name of an Olympic sport. Lugers can reach speeds of 140 km per hour (87 mph). Manuel Pfister of Austria, reached a top speed of 154 km per hour (95.69 mph) on the track in Whistler, Canada prior to the 2010 Winter Olympics.
Lugers compete against a timer, and on artificial tracks they are timed to a thousandth of a second, making luge one of the most precisely timed sports in the world. The first recorded use of the term 'luge' is 1905, from the Savoy/Swiss dialect of French 'luge' meaning 'small coasting sled', and is possibly from a Gaulish word with the same root as English sled.","Manuel Pfister (born December 4, 1988) is an Austrian luger who has competed since 1999. His best finish at the FIL World Luge Championships was 17th in the men's singles event at Oberhof in 2008.",TRUE,verycf,Shiva Keshavan is a five time Olympian,"Shiva Keshavan ( born August 25 , 1981 ) is a five time Olympian and the first Indian representative to compete in luge at the Winter Olympic Games .","Manuel Pfister of Austria, reached a top speed of 154 km per hour (95.69 mph) on the track in Whistler","Manuel Pfister of Austria, reached a top speed of 154 km per hour (95.69 mph) on the track in Whistler, Canada prior to the 2010 Winter Olympics.",Manuel Pfister  is an Austrian luger,"Manuel Pfister (born December 4, 1988) is an Austrian luger who has competed since 1999.",1324,WH_train_33316
Jodie christian plays Piano,"Jodie Christian ( February 2 , 1932 -- February 13 , 2012 ) was an American jazz pianist , noted for bebop and free jazz . Born in Chicago , Illinois , United States , Christian was one of the co-founders of the Association for the Advancement of Creative Musicians ( AACM ) along with pianist / composer Muhal Richard Abrams , drummer Steve McCall , and composer Phil Cohran . He and Abrams were also part of the Experimental Band . He worked at Chicago 's Jazz Showcase club , and performed with Eddie Harris , Stan Getz , Dexter Gordon , Gene Ammons , Roscoe Mitchell , Buddy Montgomery and John Klemmer . Christian led a group on albums . He died on February 13 , 2012 , aged 80 , in Chicago .","Free jazz is an approach to jazz music that was first developed in the 1950s and 1960s as musicians attempted to alter, extend, or break down jazz convention, often by discarding fixed chord changes or tempos. Though the music of free jazz composers varied widely, a common feature was dissatisfaction with the limitations of bebop, hard bop, and modal jazz that had developed in the 1940s and 1950s. Often described as avant-garde, free jazz has also been described as an attempt to return jazz to its primitive, often religious, roots and emphasis on collective improvisation.","Hard bop is a subgenre of jazz that is an extension of bebop (or 'bop') music. Journalists and record companies began using the term in the mid-1950s to describe a new current within jazz which incorporated influences from rhythm and blues, gospel music, and blues, especially in saxophone and piano playing.",TRUE,verycf,Jodie Christian was an American jazz pianist.,"Jodie Christian ( February 2 , 1932 -- February 13 , 2012 ) was an American jazz pianist , noted for bebop and free jazz .",NA,NA,,NA,1353,WH_train_35490
Christopher barry 's employer is Bbc,Christopher Chisholm Barry ( 20 September 1925 -- 7 February 2014 ) was a British television director best known for his work on the science - fiction series Doctor Who . He also directed the direct to video Doctor Who spin - off Downtime in 1995 .,"Doctor Who is a British science-fiction television programme produced by the BBC since 1963. The programme depicts the adventures of a Time Lord called 'The Doctor', an extraterrestrial being from the planet Gallifrey. He explores the universe in a time-travelling space ship called the TARDIS. Its exterior appears as a blue British police box, which was a common sight in Britain in 1963 when the series first aired. Accompanied by a number of companions, the Doctor combats a variety of foes, while working to save civilisations and help people in need.",,TRUE,bet,Christopher Barry was a British television director best known for his work on the series Doctor Who .,Christopher Chisholm Barry ( 20 September 1925 -- 7 February 2014 ) was a British television director best known for his work on the science - fiction series Doctor Who .,Doctor Who produced by the BBC.,Doctor Who is a British science-fiction television programme produced by the BBC since 1963.,,,1300,WH_train_39791
Henry naylor's occupation is Comedian,"Henry Naylor ( born 19 January 1966 ) is a British comedy writer , director and performer , best known for his award - winning writing and for working with comedy partner Andy Parsons in Parsons and Naylor 's Pull - Out Sections . He was head writer for Spitting Image , and has written for many shows including , Alas Smith and Jones , Dead Ringers and Alistair McGowan 's Big Impression . His work shows helped these shows win numerous awards , including the British Comedy Award , and The Sony Gold . With Parsons , he has performed satirical shows in live venues in Australia and as part of the Edinburgh Fringe . Parsons and Naylor 's Pull - Out Sections broadcast its ninth season on BBC Radio 2 during Spring 2007 . A compilation CD was released in 2003 . The duo also set up London 's first ever comedy sketch club TBA , at the Gate Theatre in the nineties , and in the process helped discover many of Britain 's leading sketch performers including Armstrong and Miller , Tony Gardner and the Cheese Shop . In 2008 , he created , directed and executive produced Headcases , a satirical ITV show very similar to Spitting Image , but made with CGI rather than puppets . The show won numerous prestigious TV awards - including the RTS for Design and Innovation , and the C21 Award for Best New Sketch Show at Cannes ' Mipcom - and was nominated for Best New Programme in the Broadcast Awards . On the live circuit , Henry has been regular at the Edinburgh Festival , performing , writing and directing numerous sketch shows and plays ( 15 in total ) . In 2014 he was awarded one of the Festival 's highest accolades , the Fringe First . He was also one of the international acts invited to perform at the Melbourne and Sydney Comedy Festivals . His face is also known for playing Rowan Atkinson 's sidekick ' Bough ' in a series of 17 commercials for Barclaycard . In 2003 he was in the news for throwing a full English breakfast at David Blaine during his Above the Below stunt on the south bank of the River Thames in London .","Andrew John 'Andy' Parsons (born 1967) is an English comedian and writer. He regularly appeared on 'Mock the Week' from Series 3 to Series 14. With comedy partner Henry Naylor, he has written and presented nine series of 'Parsons and Naylor's Pull-Out Sections' for BBC Radio 2.",,TRUE,bet,"Henry Naylor is a British comedy writer , director and performer.","Henry Naylor ( born 19 January 1966 ) is a British comedy writer , director and performer , best known for his award - winning writing and for working with comedy partner Andy Parsons in Parsons and Naylor 's Pull - Out Sections .",,NA,,,1299,WH_train_16422
Triturus belongs to Salamandridae,"Triturus is a genus of newts comprising the crested and the marbled newts , which are found from Great Britain through most of continental Europe to westernmost Siberia , Anatolia , and the Caspian Sea region . Their English names refer to their appearance : marbled newts have a green -- black colour pattern , while the males of crested newts , which are dark brown with a yellow or orange underside , develop a conspicuous jagged seam on their back and tail during their breeding phase . Crested and marbled newts live and breed in vegetation - rich ponds or similar aquatic habitats for two to six months and usually spend the rest of the year in shady , protection - rich land habitats close to their breeding sites . Males court females with a ritualised display , ending in the deposition of a spermatophore that is picked up by the female . After fertilisation , a female lays 200 -- 400 eggs , folding them individually into leaves of water plants . Larvae develop over two to four months before metamorphosing into land - dwelling juveniles . Historically , most European newts were included in the genus , but taxonomists have split off the alpine newt ( Ichthyosaura ) , the small - bodied newts ( Lissotriton ) and the banded newts ( Ommatotriton ) as separate genera . The closest relatives of Triturus are the European brook newts ( Calotriton ) . Two species of marbled newts and six species of crested newts , formerly considered subspecies , are accepted , with one additional crested newt species suspected . Their ranges are largely contiguous but where they do overlap , hybridisation may take place . Although not immediately threatened , crested and marbled newts suffer from population declines , caused mainly by habitat loss and fragmentation . Both their aquatic breeding sites and the cover - rich , natural landscapes upon which they depend during their terrestrial phase are affected . All species are legally protected in Europe , and some of their habitats have been designated as special reserves .","A newt is a salamander in the subfamily Pleurodelinae, also called eft during its terrestrial juvenile phase. Unlike other members of the family Salamandridae, newts are semiaquatic, alternating between aquatic and terrestrial habitats over the year, sometimes even staying in the water full-time. Not all aquatic salamanders are considered newts, however. The more than 100 known species of newts are found in North America, Europe, North Africa and Asia. Newts metamorphose through three distinct developmental life stages: aquatic larva, terrestrial juvenile (eft), and adult. Adult newts have lizard-like bodies and return to the water every year to breed, otherwise living in humid, cover-rich land habitats.",,TRUE,verycf,Triturus is a genus of newts,"Triturus is a genus of newts comprising the crested and the marbled newts , which are found from Great Britain through most of continental Europe to westernmost Siberia , Anatolia , and the Caspian Sea region .",newts belong to family Salamandridae,"Unlike other members of the family Salamandridae, newts are semiaquatic, alternating between aquatic and terrestrial habitats over the year, sometimes even staying in the water full-time.",,,1404,WH_train_31900
